S0,K,T,r,sigma,steps,binomial_price,nn_price,nn_error,moneyness_bucket,maturity_bucket,vol_bucket
100,100,1.0,0.02,0.25,100,9.0475852984223,9.081311225891113,0.03372592746881331,ATM,long (>0.5y),high vol (>0.20)
100,100,1.0,0.02,0.4,100,14.869756522264709,14.9625825881958,0.09282606593109222,ATM,long (>0.5y),high vol (>0.20)
100,100,1.0,0.05,0.15,100,4.226797852513212,4.01828145980835,-0.20851639270486277,ATM,long (>0.5y),low vol (<=0.20)
100,100,1.0,0.05,0.25,100,7.96361087667666,8.055634498596191,0.09202362191953117,ATM,long (>0.5y),high vol (>0.20)
100,100,1.0,0.05,0.4,100,13.646911065763575,13.736250877380371,0.08933981161679583,ATM,long (>0.5y),high vol (>0.20)
100,100,2.0,0.02,0.15,100,6.85684875429556,6.911202907562256,0.05435415326669624,ATM,long (>0.5y),low vol (<=0.20)
100,100,2.0,0.02,0.25,100,12.261478182458545,12.290206909179688,0.028728726721142905,ATM,long (>0.5y),high vol (>0.20)
100,100,2.0,0.02,0.4,100,20.306821408382373,20.388391494750977,0.08157008636860397,ATM,long (>0.5y),high vol (>0.20)
100,100,2.0,0.05,0.15,100,5.224425517210077,5.291290283203125,0.06686476599304836,ATM,long (>0.5y),low vol (<=0.20)
100,100,2.0,0.05,0.25,100,10.256554221795993,10.338674545288086,0.0821203234920933,ATM,long (>0.5y),high vol (>0.20)
100,100,2.0,0.05,0.4,100,17.966556906377388,18.18309783935547,0.21654093297808075,ATM,long (>0.5y),high vol (>0.20)
110,100,0.25,0.02,0.15,100,0.33312575868353317,0.37769457697868347,0.0445688182951503,ATM,short (<=0.5y),low vol (<=0.20)
110,100,0.25,0.02,0.25,100,1.5732118594276299,1.4177906513214111,-0.15542120810621873,ATM,short (<=0.5y),high vol (>0.20)
110,100,0.25,0.02,0.4,100,4.147626404044665,4.000423431396484,-0.14720297264818072,ATM,short (<=0.5y),high vol (>0.20)
110,100,0.25,0.05,0.15,100,0.2714571638709496,0.12212652713060379,-0.1493306367403458,ATM,short (<=0.5y),low vol (<=0.20)
110,100,0.25,0.05,0.25,100,1.4252410027541798,1.345682144165039,-0.07955885858914069,ATM,short (<=0.5y),high vol (>0.20)
110,100,0.25,0.05,0.4,100,3.9244296314310354,3.8176097869873047,-0.10681984444373072,ATM,short (<=0.5y),high vol (>0.20)
110,100,0.5,0.02,0.15,100,0.9529833930496686,0.8583172559738159,-0.0946661370758527,ATM,short (<=0.5y),low vol (<=0.20)
110,100,0.5,0.02,0.25,100,3.16668387700932,3.2725419998168945,0.10585812280757434,ATM,short (<=0.5y),high vol (>0.20)
110,100,0.5,0.02,0.4,100,7.117726166249258,7.177669048309326,0.05994288206006804,ATM,short (<=0.5y),high vol (>0.20)
110,100,0.5,0.05,0.15,100,0.7436193342003261,0.6581248044967651,-0.08549452970356097,ATM,short (<=0.5y),low vol (<=0.20)
110,100,0.5,0.05,0.25,100,2.79121629520661,2.689570426940918,-0.10164586826569222,ATM,short (<=0.5y),high vol (>0.20)
110,100,0.5,0.05,0.4,100,6.613209963120062,6.671477794647217,0.058267831527154534,ATM,short (<=0.5y),high vol (>0.20)
110,100,1.0,0.02,0.15,100,2.0275069167493456,1.9161059856414795,-0.11140093110786609,ATM,long (>0.5y),low vol (<=0.20)
110,100,1.0,0.02,0.25,100,5.516120714905351,5.558835506439209,0.042714791533858154,ATM,long (>0.5y),high vol (>0.20)
110,100,1.0,0.02,0.4,100,11.294208433280899,11.18263053894043,-0.11157789434046883,ATM,long (>0.5y),high vol (>0.20)
110,100,1.0,0.05,0.15,100,1.4873090794283368,1.3956797122955322,-0.09162936713280456,ATM,long (>0.5y),low vol (<=0.20)
110,100,1.0,0.05,0.25,100,4.678215716620272,4.779230117797852,0.10101440117757932,ATM,long (>0.5y),high vol (>0.20)
110,100,1.0,0.05,0.4,100,10.216811689821638,10.053964614868164,-0.16284707495347384,ATM,long (>0.5y),high vol (>0.20)
110,100,2.0,0.02,0.15,100,3.621618990472612,3.6236932277679443,0.002074237295332182,ATM,long (>0.5y),low vol (<=0.20)
110,100,2.0,0.02,0.25,100,8.80407751660836,8.63538646697998,-0.16869104962837866,ATM,long (>0.5y),high vol (>0.20)
110,100,2.0,0.02,0.4,100,16.951834541206953,17.065942764282227,0.11410822307527368,ATM,long (>0.5y),high vol (>0.20)
110,100,2.0,0.05,0.15,100,2.4400528800197234,2.5086286067962646,0.06857572677654122,ATM,long (>0.5y),low vol (<=0.20)
110,100,2.0,0.05,0.25,100,7.067123840177509,7.032983779907227,-0.034140060270282824,ATM,long (>0.5y),high vol (>0.20)
110,100,2.0,0.05,0.4,100,14.76945668413742,14.794575691223145,0.02511900708572412,ATM,long (>0.5y),high vol (>0.20)
120,100,0.25,0.02,0.15,100,0.01592033155862058,0.09754189103841782,0.08162155947979724,OTM put,short (<=0.5y),low vol (<=0.20)
120,100,0.25,0.02,0.25,100,0.40231228379288897,0.45207029581069946,0.04975801201781049,OTM put,short (<=0.5y),high vol (>0.20)
120,100,0.25,0.02,0.4,100,2.0616362782464943,2.155211925506592,0.09357564726009748,OTM put,short (<=0.5y),high vol (>0.20)
120,100,0.25,0.05,0.15,100,0.011725392198593084,-0.03652424365282059,-0.048249635851413675,OTM put,short (<=0.5y),low vol (<=0.20)
120,100,0.25,0.05,0.25,100,0.352209278837551,0.5064598917961121,0.15425061295856107,OTM put,short (<=0.5y),high vol (>0.20)
120,100,0.25,0.05,0.4,100,1.9269986474301228,1.985447883605957,0.058449236175834196,OTM put,short (<=0.5y),high vol (>0.20)
120,100,0.5,0.02,0.15,100,0.16141001722824835,0.11546804755926132,-0.04594196966898703,OTM put,short (<=0.5y),low vol (<=0.20)
120,100,0.5,0.02,0.25,100,1.357474621454725,1.2719231843948364,-0.08555143705988866,OTM put,short (<=0.5y),high vol (>0.20)
120,100,0.5,0.02,0.4,100,4.560271808224753,4.619035720825195,0.058763912600442225,OTM put,short (<=0.5y),high vol (>0.20)
120,100,0.5,0.05,0.15,100,0.1140715621997819,0.02791779488325119,-0.08615376731653071,OTM put,short (<=0.5y),low vol (<=0.20)
120,100,0.5,0.05,0.25,100,1.156430980224228,1.0918431282043457,-0.06458785201988237,OTM put,short (<=0.5y),high vol (>0.20)
120,100,0.5,0.05,0.4,100,4.183408086192001,4.206223487854004,0.0228154016620028,OTM put,short (<=0.5y),high vol (>0.20)
120,100,1.0,0.02,0.15,100,0.6741176016377486,0.6811421513557434,0.007024549717994821,OTM put,long (>0.5y),low vol (<=0.20)
120,100,1.0,0.02,0.25,100,3.2507361184100154,3.178158760070801,-0.07257735833921464,OTM put,long (>0.5y),high vol (>0.20)
120,100,1.0,0.02,0.4,100,8.516383723516789,8.47769832611084,-0.03868539740594912,OTM put,long (>0.5y),high vol (>0.20)
120,100,1.0,0.05,0.15,100,0.4466056403887793,0.45991387963294983,0.013308239244170517,OTM put,long (>0.5y),low vol (<=0.20)
120,100,1.0,0.05,0.25,100,2.6627850194215963,2.5945866107940674,-0.0681984086275289,OTM put,long (>0.5y),high vol (>0.20)
120,100,1.0,0.05,0.4,100,7.604981040809117,7.552426338195801,-0.05255470261331663,OTM put,long (>0.5y),high vol (>0.20)
120,100,2.0,0.02,0.15,100,1.7984700550309571,1.7557967901229858,-0.0426732649079713,OTM put,long (>0.5y),low vol (<=0.20)
120,100,2.0,0.02,0.25,100,6.241154893035263,6.173259735107422,-0.06789515792784151,OTM put,long (>0.5y),high vol (>0.20)
120,100,2.0,0.02,0.4,100,14.17158714059805,14.007519721984863,-0.16406741861318608,OTM put,long (>0.5y),high vol (>0.20)
120,100,2.0,0.05,0.15,100,1.0863442215779875,1.0925216674804688,0.00617744590248126,OTM put,long (>0.5y),low vol (<=0.20)
120,100,2.0,0.05,0.25,100,4.830300903110564,4.806048393249512,-0.02425250986105265,OTM put,long (>0.5y),high vol (>0.20)
120,100,2.0,0.05,0.4,100,12.173811261020537,12.16649341583252,-0.007317845188017813,OTM put,long (>0.5y),high vol (>0.20)
130,100,0.25,0.02,0.15,100,0.000342673033416492,-0.060935623943805695,-0.06127829697722219,OTM put,short (<=0.5y),low vol (<=0.20)
130,100,0.25,0.02,0.25,100,0.08207933486147714,0.16224360466003418,0.08016426979855704,OTM put,short (<=0.5y),high vol (>0.20)
